ID,StartTime,Mode,ONodeID,DNodeID
1,39984,0,132739,36593
2,54050,0,130138,36593
3,45775,0,130104,36593
4,46758,0,37212,36593
5,43889,0,172308,36593
6,37904,0,37251,36593
7,51315,0,132650,36593
8,39679,0,130090,36593
9,40585,0,117998,36593
10,52159,0,37233,36593
11,33613,0,37331,36593
12,51328,0,129864,36593
13,40128,0,129268,36593
14,32572,0,36676,36593
15,48369,0,38482,36593
16,49602,0,37149,36593
17,43357,0,129858,36593
18,52809,0,147723,36593
19,33813,0,37129,36593
20,54656,0,132678,36593
21,42999,0,33560,36593
22,37873,0,129918,36593
23,54659,0,36696,36593
24,47190,0,130157,36593
25,43945,0,129982,36593
26,48570,0,37175,36593
27,45593,0,37305,36593
28,30795,0,129997,36593
29,49112,0,38472,36593
30,51561,0,176338,36593
31,42457,0,130071,36593
32,42213,0,130153,36593
33,39876,0,129842,36593
34,47080,0,125235,36593
35,50978,0,37155,36593
36,37599,0,129976,36593
37,54009,0,118016,36593
38,43258,0,65451,36593
39,42260,0,128851,36593
40,48190,0,37125,36593
41,47377,0,37060,36593
42,41480,0,132661,36593
43,39422,0,33648,36593
44,50666,0,129987,36593
45,35883,0,118009,36593
46,31944,0,129917,36593
47,51851,0,37246,36593
48,49236,0,125187,36593
49,34366,0,125215,36593
50,46222,0,37106,36593
51,34754,0,132714,36593
52,31587,0,132752,36593
53,41368,0,125358,36593
54,42094,0,36642,36593
55,53153,0,65910,36593
56,55057,0,37135,36593
57,32650,0,36645,36593
58,38994,0,36698,36593
59,48275,0,132748,36593
60,31485,0,129278,36593
61,39974,0,37246,36593
62,34037,0,129836,36593
63,46724,0,174470,36593
64,34091,0,37205,36593
65,54793,0,125361,36593
66,30422,0,38479,36593
67,38311,0,37120,36593
68,40731,0,128845,36593
69,53965,0,129926,36593
70,45733,0,33627,36593
71,31116,0,129989,36593
72,45199,0,125237,36593
73,52870,0,170474,36593
74,49317,0,129982,36593
75,39783,0,37292,36593
76,53361,0,36602,36593
77,41250,0,132686,36593
78,33180,0,33659,36593
79,37951,0,36705,36593
80,52863,0,129818,36593
81,41635,0,130026,36593
82,39907,0,129895,36593
83,50290,0,129991,36593
84,52881,0,129916,36593
85,47501,0,37130,36593
86,52065,0,129971,36593
87,38387,0,128844,36593
88,31391,0,129909,36593
89,50895,0,130006,36593
90,32432,0,130061,36593
91,44251,0,37103,36593
92,32217,0,130097,36593
93,39987,0,129902,36593
94,53651,0,37226,36593
95,38178,0,36596,36593
96,52130,0,38479,36593
97,43490,0,118000,36593
98,54673,0,37133,36593
99,41745,0,129795,36593
100,42353,0,36607,36593
101,48754,0,129822,36593
102,32285,0,37092,36593
103,40150,0,129918,36593
104,32663,0,65896,36593
105,43320,0,130122,36593
106,43543,0,36680,36593
107,47178,0,130034,36593
108,45555,0,37233,36593
109,46514,0,36607,36593
110,52086,0,129832,36593
111,36829,0,130090,36593
112,34324,0,168771,36593
113,47165,0,36615,36593
114,43505,0,36637,36593
115,44634,0,37253,36593
116,52500,0,130037,36593
117,50824,0,128858,36593
118,45880,0,132667,36593
119,40908,0,37238,36593
120,31854,0,33579,36593
121,32193,0,172315,36593
122,43287,0,65901,36593
123,40156,0,130081,36593
124,47155,0,65902,36593
125,39909,0,125364,36593
126,44131,0,38488,36593
127,37652,0,577,36593
128,30295,0,36638,36593
129,47030,0,129972,36593
130,33499,0,37172,36593
131,38623,0,129917,36593
132,48370,0,130031,36593
133,54119,0,33604,36593
134,35398,0,33592,36593
135,34373,0,132686,36593
136,40901,0,130059,36593
137,50498,0,128861,36593
138,43999,0,130135,36593
139,50227,0,65455,36593
140,39441,0,125235,36593
141,43622,0,129983,36593
142,49079,0,33599,36593
143,44312,0,129799,36593
144,50108,0,36641,36593
145,42258,0,130083,36593
146,43399,0,129870,36593
147,34736,0,129938,36593
148,35298,0,65435,36593
149,36243,0,65455,36593
150,43031,0,130118,36593
151,41178,0,129799,36593
152,47463,0,130090,36593
153,40635,0,2647,36593
154,41907,0,132699,36593
155,45030,0,130084,36593
156,36874,0,164259,36593
157,35875,0,37226,36593
158,46459,0,129846,36593
159,38259,0,129826,36593
160,47207,0,129929,36593
161,37278,0,132671,36593
162,33455,0,129823,36593
163,30187,0,132685,36593
164,51922,0,65454,36593
165,39853,0,65917,36593
166,54747,0,129865,36593
167,47824,0,130144,36593
168,45146,0,132737,36593
169,31824,0,37054,36593
170,52342,0,130073,36593
171,31266,0,176015,36593
172,47359,0,129854,36593
173,42421,0,125183,36593
174,38188,0,129972,36593
175,37699,0,132707,36593
176,48370,0,65447,36593
177,51234,0,132717,36593
178,40081,0,129861,36593
179,51196,0,37267,36593
180,54835,0,37188,36593
181,50526,0,37255,36593
182,33421,0,65881,36593
183,38155,0,37124,36593
184,37339,0,36600,36593
185,38583,0,129972,36593
186,44953,0,130033,36593
187,49436,0,129835,36593
188,31677,0,36641,36593
189,48713,0,37130,36593
190,43296,0,132664,36593
191,33721,0,128864,36593
192,33172,0,129886,36593
193,34823,0,37091,36593
194,38923,0,33646,36593
195,35986,0,130151,36593
196,32515,0,33585,36593
197,46832,0,130111,36593
198,46258,0,128861,36593
199,40549,0,37086,36593
200,49561,0,129915,36593
201,53543,0,129278,36593
202,39708,0,37145,36593
203,30462,0,36636,36593
204,48023,0,65660,36593
205,38323,0,129916,36593
206,38809,0,37225,36593
207,53860,0,65442,36593
208,43076,0,37082,36593
209,51996,0,132725,36593
210,31002,0,130018,36593
211,35160,0,132718,36593
212,54663,0,33653,36593
213,51054,0,160932,36593
214,53624,0,132648,36593
215,38033,0,130098,36593
216,41087,0,573,36593
217,44565,0,129985,36593
218,44973,0,36687,36593
219,43576,0,129875,36593
220,46036,0,130008,36593
221,33195,0,36703,36593
222,32891,0,118010,36593
223,40669,0,130009,36593
224,31669,0,33601,36593
225,54089,0,36689,36593
226,34971,0,132714,36593
227,51424,0,38498,36593
