NodeID,UpLinkID,UpLaneID,DnLinkID,DnLaneID
37114,89978,-1,89994,-1
37114,89978,-1,90056,1
37114,89978,-1,90060,1
37114,89978,2,89994,2
37114,89978,2,89994,-2
37114,89978,-2,89994,2
37114,89978,-2,89994,-2
37114,89978,2,90056,2
37114,89978,2,90056,-2
37114,89978,-2,90056,2
37114,89978,-2,90056,-2
37114,89978,2,90060,2
37114,89978,2,90060,-2
37114,89978,-2,90060,2
37114,89978,-2,90060,-2
37114,89994,1,89978,1
37114,89994,1,90056,1
37114,89994,1,90060,1
37114,89994,2,89978,2
37114,89994,2,89978,-2
37114,89994,-2,89978,2
37114,89994,-2,89978,-2
37114,89994,2,90056,2
37114,89994,2,90056,-2
37114,89994,-2,90056,2
37114,89994,-2,90056,-2
37114,89994,2,90060,2
37114,89994,2,90060,-2
37114,89994,-2,90060,2
37114,89994,-2,90060,-2
37114,90056,-1,89978,1
37114,90056,-1,89994,-1
37114,90056,-1,90060,1
37114,90056,2,89978,2
37114,90056,2,89978,-2
37114,90056,-2,89978,2
37114,90056,-2,89978,-2
37114,90056,2,89994,2
37114,90056,2,89994,-2
37114,90056,-2,89994,2
37114,90056,-2,89994,-2
37114,90056,2,90060,2
37114,90056,2,90060,-2
37114,90056,-2,90060,2
37114,90056,-2,90060,-2
37114,90060,-1,89978,1
37114,90060,-1,89994,-1
37114,90060,-1,90056,1
37114,90060,2,89978,2
37114,90060,2,89978,-2
37114,90060,-2,89978,2
37114,90060,-2,89978,-2
37114,90060,2,89994,2
37114,90060,2,89994,-2
37114,90060,-2,89994,2
37114,90060,-2,89994,-2
37114,90060,2,90056,2
37114,90060,2,90056,-2
37114,90060,-2,90056,2
37114,90060,-2,90056,-2
37113,89978,1,89979,1
37113,89978,2,89979,2
37113,89978,2,89979,-2
37113,89978,-2,89979,2
37113,89978,-2,89979,-2
37113,89979,-1,89978,-1
37113,89979,2,89978,2
37113,89979,2,89978,-2
37113,89979,-2,89978,2
37113,89979,-2,89978,-2
37115,89979,1,93426,-1
37115,89979,1,93510,1
37115,89979,1,93511,1
37115,89979,2,93426,2
37115,89979,2,93426,-2
37115,89979,-2,93426,2
37115,89979,-2,93426,-2
37115,89979,2,93510,2
37115,89979,2,93510,-2
37115,89979,-2,93510,2
37115,89979,-2,93510,-2
37115,89979,2,93511,2
37115,89979,2,93511,-2
37115,89979,-2,93511,2
37115,89979,-2,93511,-2
37115,93426,1,89979,-1
37115,93426,1,93510,1
37115,93426,1,93511,1
37115,93426,2,89979,2
37115,93426,2,89979,-2
37115,93426,-2,89979,2
37115,93426,-2,89979,-2
37115,93426,2,93510,2
37115,93426,2,93510,-2
37115,93426,-2,93510,2
37115,93426,-2,93510,-2
37115,93426,2,93511,2
37115,93426,2,93511,-2
37115,93426,-2,93511,2
37115,93426,-2,93511,-2
37115,93510,-1,89979,-1
37115,93510,-1,93426,-1
37115,93510,-1,93511,1
37115,93510,2,89979,2
37115,93510,2,89979,-2
37115,93510,-2,89979,2
37115,93510,-2,89979,-2
37115,93510,2,93426,2
37115,93510,2,93426,-2
37115,93510,-2,93426,2
37115,93510,-2,93426,-2
37115,93510,2,93511,2
37115,93510,2,93511,-2
37115,93510,-2,93511,2
37115,93510,-2,93511,-2
37115,93511,-1,89979,-1
37115,93511,-1,93426,-1
37115,93511,-1,93510,1
37115,93511,2,89979,2
37115,93511,2,89979,-2
37115,93511,-2,89979,2
37115,93511,-2,89979,-2
37115,93511,2,93426,2
37115,93511,2,93426,-2
37115,93511,-2,93426,2
37115,93511,-2,93426,-2
37115,93511,2,93510,2
37115,93511,2,93510,-2
37115,93511,-2,93510,2
37115,93511,-2,93510,-2
37127,89994,-1,89995,-1
37127,89994,2,89995,2
37127,89994,2,89995,-2
37127,89994,-2,89995,2
37127,89994,-2,89995,-2
37127,89995,1,89994,1
37127,89995,2,89994,2
37127,89995,2,89994,-2
37127,89995,-2,89994,2
37127,89995,-2,89994,-2
37128,89995,-1,93426,1
37128,89995,-1,93428,-1
37128,89995,-1,93429,-1
37128,89995,2,93426,2
37128,89995,2,93426,-2
37128,89995,-2,93426,2
37128,89995,-2,93426,-2
37128,89995,2,93428,2
37128,89995,2,93428,-2
37128,89995,-2,93428,2
37128,89995,-2,93428,-2
37128,89995,2,93429,2
37128,89995,2,93429,-2
37128,89995,-2,93429,2
37128,89995,-2,93429,-2
37128,93426,-1,89995,1
37128,93426,-1,93428,-1
37128,93426,-1,93429,-1
37128,93426,2,89995,2
37128,93426,2,89995,-2
37128,93426,-2,89995,2
37128,93426,-2,89995,-2
37128,93426,2,93428,2
37128,93426,2,93428,-2
37128,93426,-2,93428,2
37128,93426,-2,93428,-2
37128,93426,2,93429,2
37128,93426,2,93429,-2
37128,93426,-2,93429,2
37128,93426,-2,93429,-2
37128,93428,1,89995,1
37128,93428,1,93426,1
37128,93428,1,93429,-1
37128,93428,2,89995,2
37128,93428,2,89995,-2
37128,93428,-2,89995,2
37128,93428,-2,89995,-2
37128,93428,2,93426,2
37128,93428,2,93426,-2
37128,93428,-2,93426,2
37128,93428,-2,93426,-2
37128,93428,2,93429,2
37128,93428,2,93429,-2
37128,93428,-2,93429,2
37128,93428,-2,93429,-2
37128,93429,1,89995,1
37128,93429,1,93426,1
37128,93429,1,93428,-1
37128,93429,2,89995,2
37128,93429,2,89995,-2
37128,93429,-2,89995,2
37128,93429,-2,89995,-2
37128,93429,2,93426,2
37128,93429,2,93426,-2
37128,93429,-2,93426,2
37128,93429,-2,93426,-2
37128,93429,2,93428,2
37128,93429,2,93428,-2
37128,93429,-2,93428,2
37128,93429,-2,93428,-2
37181,90056,1,93445,1
37181,90056,1,93447,1
