AgentID,Mode,ONodeID,DNodeID,O_Lon,O_Lat,D_Lon,D_Lat,StartTime,EndTime,TotalUtility,TotalDistance(m)
353,3,136228,143375,139.845,35.6815,139.845,35.6815,30000,30000,-0.0218368,8.06566
988,3,136228,143375,139.845,35.6815,139.845,35.6815,30000,30000,-0.0218368,8.06566
70,3,147712,147707,139.83,35.6767,139.83,35.6768,30000,30011,-0.511977,23.3354
252,3,71227,69853,139.834,35.671,139.835,35.6714,30000,30034,-1.79836,54.8778
333,3,71227,69853,139.834,35.671,139.835,35.6714,30000,30034,-1.79836,54.8778
1126,3,112103,55506,139.84,35.6675,139.84,35.6676,30000,30037,-1.06374,49.5679
417,3,126350,69288,139.829,35.6701,139.828,35.6702,30000,30042,-1.14428,55.3668
1325,3,69267,1535,139.831,35.6796,139.831,35.6797,30000,30045,-1.25111,60.4852
536,3,69267,1535,139.831,35.6796,139.831,35.6797,30000,30045,-1.25111,60.4852
1287,3,69267,1535,139.831,35.6796,139.831,35.6797,30000,30045,-1.25111,60.4852
308,3,18493,175961,139.838,35.6758,139.838,35.6754,30000,30046,-2.2707,74.2939
858,3,69287,69288,139.828,35.6697,139.828,35.6702,30000,30050,-1.33551,64.2902
1394,3,69276,151326,139.833,35.6721,139.833,35.6722,30000,30053,-2.17727,68.532
1274,3,136227,143375,139.845,35.6808,139.845,35.6815,30000,30058,-1.48852,71.5285
1711,3,69167,143375,139.845,35.6808,139.845,35.6815,30000,30058,-2.10803,80.0506
232,3,69167,143375,139.845,35.6808,139.845,35.6815,30000,30058,-2.09948,80.0506
723,3,136227,143375,139.845,35.6808,139.845,35.6815,30000,30058,-1.46285,71.5285
1002,3,136232,143375,139.844,35.6816,139.845,35.6815,30000,30059,-4.72758,71.7504
1286,3,69159,161154,139.841,35.6788,139.84,35.6788,30000,30061,-1.5849,76.7368
1913,3,69159,161154,139.841,35.6788,139.84,35.6788,30000,30061,-1.5849,76.7368
773,3,69278,151326,139.833,35.6715,139.833,35.6722,30000,30063,-1.6281,77.1045
1419,3,65337,124504,139.837,35.6845,139.836,35.6847,30000,30064,-2.60782,87.5288
782,3,126346,69288,139.829,35.67,139.828,35.6702,30000,30064,-3.09487,80.0767
600,3,112080,55506,139.84,35.668,139.84,35.6676,30000,30065,-2.3674,74.8258
189,3,136237,35914,139.845,35.6831,139.845,35.6839,30000,30068,-1.74288,84.7522
994,3,136189,175961,139.838,35.6757,139.838,35.6754,30000,30073,-3.81458,111.365
1949,3,112068,69299,139.841,35.6853,139.841,35.6861,30000,30074,-1.87596,91.6233
1468,3,162543,143375,139.844,35.6818,139.845,35.6815,30000,30075,-6.06287,96.0666
129,3,133218,55506,139.84,35.668,139.84,35.6676,30000,30080,-3.65679,97.7164
77,3,133219,55506,139.84,35.6671,139.84,35.6676,30000,30080,-2.88388,100.94
629,3,133219,55506,139.84,35.6671,139.84,35.6676,30000,30080,-2.87183,100.94
856,3,133214,55506,139.84,35.6667,139.84,35.6676,30000,30082,-2.05625,100.027
901,3,112087,55506,139.841,35.6675,139.84,35.6676,30000,30086,-3.74788,104.837
1275,3,65331,124504,139.837,35.6856,139.836,35.6847,30000,30089,-2.23192,108.298
1827,3,118896,1535,139.831,35.679,139.831,35.6797,30000,30090,-3.05806,110.488
571,3,69269,69288,139.828,35.6695,139.828,35.6702,30000,30093,-2.81441,105.551
1803,3,1547,1535,139.83,35.6795,139.831,35.6797,30000,30095,-3.98183,115.358
1806,3,69298,69299,139.843,35.6862,139.841,35.6861,30000,30096,-2.36798,115.387
1775,3,69298,69299,139.843,35.6862,139.841,35.6861,30000,30096,-2.36798,115.387
1473,3,147708,147707,139.83,35.676,139.83,35.6768,30000,30096,-4.72048,126.095
1300,3,133217,55506,139.841,35.668,139.84,35.6676,30000,30099,-5.66415,118.057
