AgentID,Mode,ONodeID,DNodeID,O_Lon,O_Lat,D_Lon,D_Lat,StartTime,EndTime,TotalUtility,TotalDistance(m)
731,3,1553,68974,139.831,35.6816,139.831,35.6816,30000,30000,-0.0114718,5.64962
398,3,68949,68950,139.831,35.684,139.831,35.6837,30000,30012,-0.550373,25.5433
74,3,112102,55506,139.84,35.6676,139.84,35.6676,30000,30013,-0.509116,23.0914
222,3,112102,55506,139.84,35.6676,139.84,35.6676,30000,30013,-0.509116,23.0914
491,3,112340,112339,139.844,35.6878,139.844,35.6878,30000,30013,-0.517405,22.9371
584,3,112340,112339,139.844,35.6878,139.844,35.6878,30000,30013,-0.517405,22.9371
809,3,112340,112339,139.844,35.6878,139.844,35.6878,30000,30013,-0.517405,22.9371
309,3,65355,124504,139.836,35.6844,139.836,35.6847,30000,30016,-0.699955,31.8204
939,3,65355,124504,139.836,35.6844,139.836,35.6847,30000,30016,-0.699955,31.8204
511,3,1536,1535,139.831,35.6794,139.831,35.6797,30000,30018,-0.620212,28.9045
187,3,126353,151326,139.833,35.672,139.833,35.6722,30000,30019,-0.554095,25.6696
977,3,126353,151326,139.833,35.672,139.833,35.6722,30000,30019,-0.554095,25.6696
795,3,65354,124504,139.836,35.6844,139.836,35.6847,30000,30020,-1.23541,38.2093
89,3,112336,112339,139.844,35.6875,139.844,35.6878,30000,30022,-0.709228,33.8508
167,3,132800,37487,139.824,35.6889,139.824,35.6893,30000,30026,-0.801841,37.8534
943,3,132800,37487,139.824,35.6889,139.824,35.6893,30000,30026,-0.801841,37.8534
359,3,81021,81193,139.831,35.6953,139.831,35.6957,30000,30027,-0.822877,38.396
137,3,81109,81169,139.841,35.6993,139.841,35.699,30000,30028,-0.852123,40.9259
393,3,147713,147707,139.83,35.6765,139.83,35.6768,30000,30029,-2.24802,57.0409
703,3,132493,132492,139.828,35.7037,139.827,35.7039,30000,30034,-1.00757,48.7385
801,3,69854,69853,139.834,35.671,139.835,35.6714,30000,30035,-1.07456,51.2312
972,3,90672,90675,139.841,35.6901,139.842,35.6901,30000,30040,-1.08839,52.4957
998,3,126350,69288,139.829,35.6701,139.828,35.6702,30000,30042,-1.14428,55.3668
560,3,69267,1535,139.831,35.6796,139.831,35.6797,30000,30045,-1.25111,60.4852
738,3,69267,1535,139.831,35.6796,139.831,35.6797,30000,30045,-1.25111,60.4852
306,3,18493,175961,139.838,35.6758,139.838,35.6754,30000,30046,-2.2707,74.2939
630,3,50479,132492,139.827,35.7045,139.827,35.7039,30000,30046,-1.30917,63.5199
35,3,1538,68974,139.831,35.6816,139.831,35.6816,30000,30047,-2.31644,54.8844
93,3,170174,112339,139.844,35.6875,139.844,35.6878,30000,30050,-2.1762,64.9803
427,3,68946,68974,139.83,35.6816,139.831,35.6816,30000,30050,-1.33168,64.1978
954,3,68946,68974,139.83,35.6816,139.831,35.6816,30000,30050,-1.33168,64.1978
837,3,69276,151326,139.833,35.6721,139.833,35.6722,30000,30053,-2.19671,68.532
139,3,132491,132492,139.827,35.7033,139.827,35.7039,30000,30054,-1.44851,70.2694
214,3,57774,57754,139.839,35.6964,139.839,35.6963,30000,30054,-1.5868,67.5479
124,3,53439,53440,139.829,35.7009,139.829,35.7002,30000,30055,-1.43375,69.7078
