AgentID,Mode,ONodeID,DNodeID,O_Lon,O_Lat,D_Lon,D_Lat,StartTime,EndTime,TotalUtility,TotalDistance(m)
398,3,68949,68950,139.831,35.684,139.831,35.6837,30000,30012,-0.550373,25.5433
491,3,112340,112339,139.844,35.6878,139.844,35.6878,30000,30013,-0.517405,22.9371
584,3,112340,112339,139.844,35.6878,139.844,35.6878,30000,30013,-0.517405,22.9371
309,3,65355,124504,139.836,35.6844,139.836,35.6847,30000,30016,-0.699955,31.8204
511,3,1536,1535,139.831,35.6794,139.831,35.6797,30000,30018,-0.620212,28.9045
359,3,81021,81193,139.831,35.6953,139.831,35.6957,30000,30027,-0.822877,38.396
393,3,147713,147707,139.83,35.6765,139.83,35.6768,30000,30029,-2.24802,57.0409
560,3,69267,1535,139.831,35.6796,139.831,35.6797,30000,30045,-1.25111,60.4852
306,3,18493,175961,139.838,35.6758,139.838,35.6754,30000,30046,-2.2707,74.2939
427,3,68946,68974,139.83,35.6816,139.831,35.6816,30000,30050,-1.33168,64.1978
536,3,50191,50185,139.832,35.7028,139.832,35.7021,30000,30062,-1.61083,77.7348
388,3,69278,151326,139.833,35.6715,139.833,35.6722,30000,30063,-1.6281,77.1045
469,3,91821,91833,139.835,35.6901,139.835,35.6907,30000,30063,-2.45467,80.9246
337,3,163787,147707,139.83,35.6761,139.83,35.6768,30000,30065,-3.26696,97.869
304,3,69284,69288,139.829,35.6709,139.828,35.6702,30000,30066,-3.96205,73.6134
557,3,69284,69288,139.829,35.6709,139.828,35.6702,30000,30066,-3.96205,73.6134
387,3,69855,151326,139.834,35.6718,139.833,35.6722,30000,30072,-2.44966,76.6223
407,3,65133,57792,139.836,35.6971,139.836,35.6966,30000,30072,-2.79437,95.7649
586,3,136189,175961,139.838,35.6757,139.838,35.6754,30000,30073,-3.81458,111.365
305,3,133218,55506,139.84,35.668,139.84,35.6676,30000,30080,-3.6288,97.7164
342,3,133219,55506,139.84,35.6671,139.84,35.6676,30000,30080,-2.85556,100.94
331,3,78214,78213,139.826,35.6978,139.825,35.6975,30000,30082,-2.7489,94.2211
365,3,28685,50185,139.831,35.7021,139.832,35.7021,30000,30088,-2.17682,106.387
499,3,57755,57754,139.839,35.6954,139.839,35.6963,30000,30089,-2.20528,107.744
551,3,1504,69169,139.827,35.6771,139.829,35.6769,30000,30096,-2.46325,119.416
428,3,133217,55506,139.841,35.668,139.84,35.6676,30000,30099,-5.64363,118.057
334,3,50476,132492,139.828,35.7037,139.827,35.7039,30000,30100,-4.10532,121.922
389,3,50476,132492,139.828,35.7037,139.827,35.7039,30000,30100,-4.10532,121.922
498,3,65362,112339,139.843,35.6877,139.844,35.6878,30000,30100,-4.09847,119.763
373,3,57804,112341,139.838,35.6993,139.837,35.6999,30000,30108,-4.05098,122.897
348,3,81023,81193,139.831,35.6951,139.831,35.6957,30000,30109,-4.32364,133.223
463,3,81188,81193,139.832,35.6957,139.831,35.6957,30000,30115,-4.37771,137.104
580,3,8189,78213,139.826,35.6982,139.825,35.6975,30000,30116,-9.24708,142.045
476,3,57787,57792,139.836,35.6954,139.836,35.6966,30000,30118,-3.28105,132.218
534,3,57787,57792,139.836,35.6954,139.836,35.6966,30000,30118,-3.28105,132.218
450,3,53464,53440,139.83,35.7009,139.829,35.7002,30000,30123,-3.88476,148.114
524,3,65330,124504,139.836,35.6858,139.836,35.6847,30000,30124,-4.49985,145.357
600,3,91837,65352,139.833,35.6881,139.831,35.688,30000,30127,-3.08197,150.131
567,3,65129,78213,139.826,35.6966,139.825,35.6975,30000,30135,-4.20676,165.513
582,3,65576,90675,139.843,35.6905,139.842,35.6901,30000,30136,-5.64544,154.612
459,3,57824,81169,139.842,35.6992,139.841,35.699,30000,30137,-4.01119,166.83
482,3,69225,1535,139.831,35.6782,139.831,35.6797,30000,30137,-4.90599,161.251
525,3,69225,1535,139.831,35.6782,139.831,35.6797,30000,30137,-4.90025,161.251
338,3,52985,50185,139.833,35.701,139.832,35.7021,30000,30140,-6.49743,164.612
420,3,57780,81169,139.84,35.6977,139.841,35.699,30000,30140,-6.53314,164.251
317,3,112111,69299,139.841,35.6846,139.841,35.6861,30000,30143,-7.21693,163.817
455,3,112111,69299,139.841,35.6846,139.841,35.6861,30000,30143,-7.21693,163.817
555,3,69277,151326,139.832,35.6715,139.833,35.6722,30000,30144,-5.55225,127.327
520,3,81151,81169,139.841,35.6978,139.841,35.699,30000,30145,-4.97882,167.196
313,3,81204,57792,139.834,35.6965,139.836,35.6966,30000,30150,-3.60781,176.187
443,3,1523,65174,139.827,35.6871,139.829,35.6872,30000,30150,-3.5895,175.733
575,3,133212,55506,139.841,35.6666,139.84,35.6676,30000,30152,-6.80018,179.598
457,3,50188,50185,139.833,35.7015,139.832,35.7021,30000,30154,-6.30597,186.364
565,3,35985,36023,139.843,35.6947,139.842,35.696,30000,30164,-4.42954,196
408,3,81070,81193,139.831,35.6961,139.831,35.6957,30000,30166,-4.91869,112.903
341,3,112051,161154,139.84,35.6777,139.84,35.6788,30000,30169,-5.60212,196.998
302,3,36185,36023,139.843,35.6974,139.842,35.696,30000,30170,-5.07885,196.533
454,3,36185,36023,139.843,35.6974,139.842,35.696,30000,30170,-5.07885,196.533
377,3,7937,132492,139.826,35.705,139.827,35.7039,30000,30173,-4.70371,199.664
394,3,78263,78213,139.823,35.6981,139.825,35.6975,30000,30176,-6.49281,198.546
415,3,65353,65352,139.832,35.6887,139.831,35.688,30000,30179,-5.13418,213.458
589,3,53459,53440,139.83,35.6997,139.829,35.7002,30000,30180,-4.99241,204.701
509,3,1552,68974,139.833,35.6817,139.831,35.6816,30000,30183,-6.8615,201.479
328,3,143372,55506,139.841,35.6683,139.84,35.6676,30000,30184,-6.00365,214.731
409,3,65207,78213,139.824,35.6966,139.825,35.6975,30000,30186,-8.27168,209.082
573,3,69146,143375,139.844,35.6803,139.845,35.6815,30000,30186,-7.51021,209.922
311,3,57826,57792,139.838,35.6972,139.836,35.6966,30000,30187,-5.08917,210.798
430,3,69279,151326,139.832,35.672,139.833,35.6722,30000,30194,-7.11927,193.846
474,3,155312,69299,139.842,35.6858,139.841,35.6861,30000,30194,-7.9427,205.023
475,3,57783,57792,139.836,35.6973,139.836,35.6966,30000,30194,-5.0577,112.536
458,3,12625,112341,139.834,35.7004,139.837,35.6999,30000,30195,-4.38188,221.359
320,3,65367,65365,139.84,35.6877,139.841,35.6864,30000,30200,-5.38566,224.651
502,3,71226,147707,139.832,35.6765,139.83,35.6768,30000,30202,-9.86584,197.037
333,3,57768,57792,139.837,35.695,139.836,35.6966,30000,30203,-7.52956,211.187
448,3,81086,81169,139.843,35.6986,139.841,35.699,30000,30203,-7.40498,240.963
439,3,57764,57754,139.838,35.6966,139.839,35.6963,30000,30204,-7.46987,239.406
434,3,81028,112341,139.837,35.6982,139.837,35.6999,30000,30207,-5.76809,240.538
383,3,132465,53440,139.828,35.7017,139.829,35.7002,30000,30209,-6.79901,248.006
497,3,136240,35914,139.843,35.6834,139.845,35.6839,30000,30210,-5.64067,236.028
424,3,1543,133231,139.841,35.6754,139.839,35.674,30000,30227,-6.33282,270.187
335,3,69272,69288,139.827,35.6713,139.828,35.6702,30000,30230,-8.40304,249.807
456,3,53443,53440,139.831,35.6997,139.829,35.7002,30000,30238,-8.24015,265.757
351,3,1501,69169,139.827,35.6771,139.829,35.6769,30000,30239,-7.80935,154.525
432,3,132473,132492,139.827,35.702,139.827,35.7039,30000,30250,-7.87059,248.156
585,3,81019,81193,139.832,35.6942,139.831,35.6957,30000,30253,-9.32312,229.084
380,3,90682,90675,139.841,35.6885,139.842,35.6901,30000,30254,-9.2298,293.14
558,3,112112,69299,139.843,35.6847,139.841,35.6861,30000,30255,-10.4059,279.809
447,3,52989,78213,139.827,35.6983,139.825,35.6975,30000,30257,-12.2645,248.065
395,3,136236,143375,139.842,35.6814,139.845,35.6815,30000,30263,-11.093,298.595
595,3,57777,57792,139.836,35.6944,139.836,35.6966,30000,30263,-9.885,243.9
472,3,1524,132819,139.826,35.6875,139.828,35.6888,30000,30264,-9.32915,282.245
578,3,65344,91833,139.836,35.6899,139.835,35.6907,30000,30266,-8.35891,144.766
598,3,91802,91833,139.836,35.691,139.835,35.6907,30000,30266,-10.2797,145.357
483,3,136211,136208,139.843,35.679,139.842,35.6786,30000,30273,-8.10016,319.567
576,3,81104,36023,139.844,35.6974,139.842,35.696,30000,30280,-12.7097,248.974
587,3,81104,36023,139.844,35.6974,139.842,35.696,30000,30280,-12.7051,248.974
493,3,35898,55506,139.842,35.6661,139.84,35.6676,30000,30287,-13.1243,330.218
574,3,165691,68950,139.829,35.6832,139.831,35.6837,30000,30293,-11.3948,318.156
526,3,1902,55506,139.842,35.6659,139.84,35.6676,30000,30306,-14.8101,357.263
523,3,167664,161154,139.84,35.6806,139.84,35.6788,30000,30309,-8.3737,336.502
361,3,90688,65365,139.839,35.6876,139.841,35.6864,30000,30311,-7.89181,347.708
527,3,136213,136208,139.843,35.6794,139.842,35.6786,30000,30315,-9.69005,357.295
533,3,50200,50185,139.834,35.7017,139.832,35.7021,30000,30317,-11.3457,365.986
464,3,18486,69853,139.836,35.6728,139.835,35.6714,30000,30326,-9.21064,383.688
301,3,37484,132819,139.828,35.6889,139.828,35.6888,30000,30328,-10.2455,386.871
539,3,69154,136208,139.841,35.6813,139.842,35.6786,30000,30336,-10.1827,385.219
416,3,136221,136208,139.842,35.6803,139.842,35.6786,30000,30338,-10.5167,397.816
569,3,136221,136208,139.842,35.6803,139.842,35.6786,30000,30338,-10.5141,397.816
307,3,78319,78213,139.822,35.698,139.825,35.6975,30000,30346,-11.9541,372.141
466,3,78318,78213,139.822,35.698,139.825,35.6975,30000,30346,-11.5064,323.612
417,3,1798,65174,139.827,35.6858,139.829,35.6872,30000,30351,-13.3162,326.694
402,3,132534,151326,139.833,35.6748,139.833,35.6722,30000,30353,-11.4165,376.841
391,3,68970,68974,139.827,35.682,139.831,35.6816,30000,30354,-12.1762,348.828
360,3,1508,68974,139.828,35.681,139.831,35.6816,30000,30374,-14.8428,352.177
549,3,81010,57792,139.835,35.6972,139.836,35.6966,30000,30378,-10.9466,239.516
506,3,132536,151326,139.833,35.6754,139.833,35.6722,30000,30384,-12.0408,440.936
371,3,136224,136208,139.842,35.6811,139.842,35.6786,30000,30385,-11.331,438.607
470,3,112081,126352,139.838,35.6706,139.835,35.6708,30000,30388,-12.4957,402.113
477,3,112081,126352,139.838,35.6706,139.835,35.6708,30000,30388,-12.4957,402.113
484,3,78268,78213,139.824,35.7003,139.825,35.6975,30000,30388,-15.9833,442.443
568,3,81177,57792,139.836,35.6982,139.836,35.6966,30000,30389,-14.8856,323.012
419,3,112302,90675,139.842,35.6905,139.842,35.6901,30000,30391,-13.6002,264.733
481,3,112041,55506,139.841,35.6702,139.84,35.6676,30000,30392,-14.3052,434.124
355,3,136200,161154,139.838,35.6777,139.84,35.6788,30000,30395,-14.6818,456.591
363,3,136207,161154,139.838,35.6784,139.84,35.6788,30000,30399,-13.3308,460.339
570,3,136207,161154,139.838,35.6784,139.84,35.6788,30000,30399,-13.3329,460.339
431,3,78266,78213,139.823,35.6992,139.825,35.6975,30000,30406,-18.2366,367.964
438,3,132546,57792,139.834,35.6943,139.836,35.6966,30000,30409,-15.727,413.325
572,3,8625,53440,139.828,35.7018,139.829,35.7002,30000,30420,-10.9581,291.175
353,3,112057,55506,139.842,35.6693,139.84,35.6676,30000,30423,-15.3989,408.524
412,3,52982,81193,139.833,35.6975,139.831,35.6957,30000,30426,-16.1839,383.661
518,3,52983,81193,139.833,35.6983,139.831,35.6957,30000,30426,-18.6328,472.065
452,3,158768,69169,139.825,35.6781,139.829,35.6769,30000,30429,-14.2012,387.638
541,3,81099,81193,139.828,35.6962,139.831,35.6957,30000,30436,-15.1202,435.694
542,3,81009,81193,139.828,35.6946,139.831,35.6957,30000,30442,-14.8962,391.367
522,3,69150,69288,139.826,35.6729,139.828,35.6702,30000,30443,-14.1434,466.011
561,3,68971,69169,139.825,35.6793,139.829,35.6769,30000,30445,-18.3191,513.837
