AgentID,Mode,ONodeID,DNodeID,O_Lon,O_Lat,D_Lon,D_Lat,StartTime,EndTime,TotalUtility,TotalDistance(m)
40,0,1552,69160,139.833,35.6817,139.828,35.6823,30000,30057,-9.50608,510.366
42,0,1552,165691,139.833,35.6817,139.829,35.6832,30000,30080,-11.4022,645.507
137,0,1552,118848,139.833,35.6817,139.834,35.6773,30000,30093,-15.0897,840.571
149,0,1552,65380,139.833,35.6817,139.825,35.678,30000,30221,-49.2533,1104
141,0,1552,71225,139.833,35.6817,139.834,35.6762,30000,30233,-27.2796,943.173
109,0,1552,118849,139.833,35.6817,139.834,35.6767,30000,30242,-24.4463,999.662
171,0,1552,136236,139.833,35.6817,139.842,35.6814,30000,30326,-37.1809,1470.11
22,3,1552,68949,139.833,35.6817,139.831,35.684,30000,30418,-12.9291,460.684
3,0,1552,136239,139.833,35.6817,139.845,35.6825,30000,30420,-35.9475,1547.82
13,0,1552,112340,139.833,35.6817,139.844,35.6878,30000,30424,-37.0163,1553.02
157,0,1552,81182,139.833,35.6817,139.826,35.6955,30000,30443,-53.4629,2048.2
21,3,1552,170179,139.833,35.6817,139.829,35.6821,30000,30494,-16.6028,529.905
43,0,1552,124530,139.833,35.6817,139.811,35.6887,30000,30721,-70.658,2724.8
41,0,1552,112300,139.833,35.6817,139.839,35.6927,30000,30725,-57.1213,1731.37
66,0,1552,76250,139.833,35.6817,139.789,35.684,30000,30748,-127.238,4579.61
39,0,1552,112314,139.833,35.6817,139.842,35.6936,30000,30767,-59.6648,2174.91
170,0,1552,33659,139.833,35.6817,139.857,35.6545,30000,30815,-83.5156,5314.49
12,0,1552,91822,139.833,35.6817,139.835,35.6902,30000,30833,-49.6087,1232.5
29,3,1552,118890,139.833,35.6817,139.836,35.6804,30000,30867,-24.7748,807.999
139,3,1552,65371,139.833,35.6817,139.836,35.6875,30000,30927,-24.1579,879.456
44,0,1552,1939,139.833,35.6817,139.811,35.6895,30000,30975,-89.0713,2869.91
62,3,1552,158771,139.833,35.6817,139.825,35.6782,30000,31061,-36.9234,1054.2
20,3,1552,1521,139.833,35.6817,139.827,35.687,30000,31076,-38.9379,1110.23
135,3,1552,132793,139.833,35.6817,139.835,35.6874,30000,31076,-30.0072,1033.59
34,3,1552,1913,139.833,35.6817,139.826,35.6777,30000,31134,-36.7163,1142.11
61,3,1552,1915,139.833,35.6817,139.824,35.6795,30000,31150,-36.8421,1135.54
158,0,1552,36232,139.833,35.6817,139.851,35.6966,30000,31154,-93.1287,3104.24
162,0,1552,118035,139.833,35.6817,139.868,35.6889,30000,31195,-99.896,4439.91
86,3,1552,132789,139.833,35.6817,139.834,35.6868,30000,31209,-32.9065,1175.37
138,3,1552,132788,139.833,35.6817,139.833,35.6868,30000,31238,-33.5675,1206.89
25,3,1552,132807,139.833,35.6817,139.837,35.6874,30000,31249,-36.5283,991.326
165,3,1552,1524,139.833,35.6817,139.826,35.6875,30000,31253,-45.0396,1165.59
63,3,1552,18491,139.833,35.6817,139.837,35.6759,30000,31262,-42.5791,1208.19
87,3,1552,12622,139.833,35.6817,139.836,35.6892,30000,31277,-35.5425,1063.9
88,3,1552,65364,139.833,35.6817,139.834,35.6897,30000,31295,-37.7981,1267.57
150,3,1552,1949,139.833,35.6817,139.823,35.6863,30000,31295,-43.1896,1358.76
84,3,1552,65316,139.833,35.6817,139.838,35.6876,30000,31310,-37.3727,1070.88
57,3,1552,91834,139.833,35.6817,139.834,35.6897,30000,31317,-39.1966,1296.23
82,3,1552,132801,139.833,35.6817,139.826,35.6874,30000,31326,-47.6613,1252.96
125,3,1552,91812,139.833,35.6817,139.833,35.6888,30000,31329,-40.9545,1309.6
56,3,1552,1953,139.833,35.6817,139.826,35.6883,30000,31331,-46.736,1249.6
5,3,1552,132783,139.833,35.6817,139.832,35.6867,30000,31334,-35.7696,1314.2
81,3,1552,65177,139.833,35.6817,139.833,35.6859,30000,31344,-35.9784,1325.69
80,3,1552,91828,139.833,35.6817,139.834,35.6897,30000,31347,-42.4253,1305.29
35,3,1552,136207,139.833,35.6817,139.838,35.6784,30000,31366,-43.5926,1297.64
9,0,1552,11549,139.833,35.6817,139.801,35.6778,30000,31367,-108.784,3854.55
164,3,1552,132781,139.833,35.6817,139.832,35.6862,30000,31373,-37.6431,1364.09
79,3,1552,91811,139.833,35.6817,139.833,35.6896,30000,31411,-46.5742,1384.05
58,3,1552,65341,139.833,35.6817,139.836,35.6892,30000,31473,-46.6074,1071
74,3,1552,65350,139.833,35.6817,139.831,35.6885,30000,31512,-43.6918,1514.41
161,0,1552,132729,139.833,35.6817,139.886,35.6598,30000,31527,-143.041,6717.72
30,3,1552,65172,139.833,35.6817,139.831,35.6858,30000,31528,-53.4161,1396.07
76,3,1552,65172,139.833,35.6817,139.831,35.6858,30000,31528,-53.4161,1396.07
111,3,1552,65342,139.833,35.6817,139.836,35.6898,30000,31532,-41.3573,1141.37
134,3,1552,65324,139.833,35.6817,139.837,35.6893,30000,31556,-48.5028,1162.49
10,3,1552,65359,139.833,35.6817,139.839,35.6894,30000,31567,-50.4941,1363.82
48,3,1552,132778,139.833,35.6817,139.831,35.6881,30000,31572,-46.6621,1587.69
98,3,1552,65323,139.833,35.6817,139.839,35.6894,30000,31572,-51.5608,1365.3
77,3,1552,65351,139.833,35.6817,139.831,35.6894,30000,31607,-52.492,1602.02
27,3,1552,65320,139.833,35.6817,139.838,35.6894,30000,31640,-51.0934,1250.26
112,3,1552,90664,139.833,35.6817,139.841,35.6888,30000,31647,-55.2338,1430.3
102,3,1552,65362,139.833,35.6817,139.843,35.6877,30000,31656,-48.4357,1456.19
71,3,1552,37487,139.833,35.6817,139.824,35.6893,30000,31672,-55.285,1564.65
145,3,1552,35982,139.833,35.6817,139.845,35.6876,30000,31688,-53.0446,1629.84
105,3,1552,161129,139.833,35.6817,139.843,35.6877,30000,31691,-50.8006,1494.98
68,3,1552,37484,139.833,35.6817,139.828,35.6889,30000,31718,-57.9271,1454.96
14,3,1552,65242,139.833,35.6817,139.823,35.6889,30000,31729,-57.9144,1627.46
133,3,1552,35981,139.833,35.6817,139.845,35.6878,30000,31738,-54.7962,1675.59
147,3,1552,90670,139.833,35.6817,139.841,35.69,30000,31744,-56.8576,1545.08
19,3,1552,37482,139.833,35.6817,139.828,35.6893,30000,31753,-59.664,1500.22
130,3,1552,112339,139.833,35.6817,139.844,35.6878,30000,31764,-54.0481,1575.95
129,3,1552,65348,139.833,35.6817,139.843,35.6865,30000,31809,-53.382,1625.33
11,3,1552,35984,139.833,35.6817,139.845,35.6878,30000,31836,-56.1932,1647.85
103,3,1552,161134,139.833,35.6817,139.844,35.6865,30000,31841,-54.1018,1661.35
99,3,1552,90675,139.833,35.6817,139.842,35.6901,30000,31851,-60.8581,1664.6
0,3,1552,90679,139.833,35.6817,139.843,35.6896,30000,31853,-62.3857,1665.31
106,3,1552,91826,139.833,35.6817,139.83,35.692,30000,31862,-64.0902,1871.57
1,3,1552,170166,139.833,35.6817,139.843,35.6868,30000,31870,-55.5377,1694.63
26,3,1552,65325,139.833,35.6817,139.838,35.6901,30000,31893,-60.6001,1328.6
47,3,1552,37479,139.833,35.6817,139.83,35.6893,30000,31894,-62.7457,1657.6
110,3,1552,134501,139.833,35.6817,139.829,35.6894,30000,31922,-66.8504,1573.1
18,3,1552,172491,139.833,35.6817,139.846,35.6867,30000,31926,-61.3012,1880.23
16,3,1552,35995,139.833,35.6817,139.847,35.6872,30000,31929,-61.2991,1843.51
85,3,1552,91808,139.833,35.6817,139.831,35.693,30000,31931,-65.6189,1948.68
7,3,1552,90691,139.833,35.6817,139.845,35.6891,30000,31939,-65.9445,1762.84
140,3,1552,90669,139.833,35.6817,139.843,35.6902,30000,31959,-64.9199,1785.77
75,3,1552,37478,139.833,35.6817,139.826,35.6913,30000,31974,-59.5929,1581.15
163,3,1552,35973,139.833,35.6817,139.848,35.6875,30000,31996,-62.4211,1933.66
73,3,1552,132895,139.833,35.6817,139.826,35.6903,30000,32020,-70.0454,1477.17
46,3,1552,65327,139.833,35.6817,139.838,35.6907,30000,32106,-62.3249,1393.7
120,3,1552,65327,139.833,35.6817,139.838,35.6907,30000,32106,-62.5189,1393.7
174,0,1552,91078,139.833,35.6817,139.694,35.7591,30000,32113,-307.634,18625.8
49,3,1552,112332,139.833,35.6817,139.838,35.6908,30000,32124,-62.859,1411.54
117,3,1552,112305,139.833,35.6817,139.836,35.6907,30000,32140,-68.0395,1248.16
118,3,1552,112305,139.833,35.6817,139.836,35.6907,30000,32140,-68.0447,1248.16
54,3,1552,36018,139.833,35.6817,139.846,35.6898,30000,32144,-75.1268,1938.03
4,3,1552,132898,139.833,35.6817,139.828,35.6904,30000,32156,-73.7991,1620.92
151,3,1552,65313,139.833,35.6817,139.822,35.6893,30000,32161,-63.2077,1795.08
115,3,1552,91803,139.833,35.6817,139.835,35.6909,30000,32202,-70.9242,1273.45
121,3,1552,91803,139.833,35.6817,139.835,35.6909,30000,32202,-70.9546,1273.45
72,3,1552,134499,139.833,35.6817,139.829,35.6894,30000,32247,-70.697,1583.12
154,3,1552,134502,139.833,35.6817,139.829,35.6901,30000,32248,-70.0055,1651.34
24,3,1552,91801,139.833,35.6817,139.836,35.6911,30000,32255,-71.8397,1325.77
92,3,1552,91801,139.833,35.6817,139.836,35.6911,30000,32255,-72.6389,1325.77
64,0,1552,131841,139.833,35.6817,139.826,35.7183,30000,32256,-173.455,4708.93
160,3,1552,35974,139.833,35.6817,139.849,35.6889,30000,32259,-69.6448,2217.64
95,3,1552,35997,139.833,35.6817,139.846,35.6909,30000,32278,-81.0129,2110.07
31,3,1552,112304,139.833,35.6817,139.837,35.6907,30000,32294,-71.3336,1369.06
156,0,1552,50079,139.833,35.6817,139.874,35.7097,30000,32297,-184.356,6327.4
91,3,1552,112293,139.833,35.6817,139.838,35.6926,30000,32299,-68.2955,1607.5
168,3,1552,172490,139.833,35.6817,139.85,35.6892,30000,32309,-72.0334,2281.46
155,3,1552,132899,139.833,35.6817,139.826,35.6933,30000,32317,-81.5177,1807.62
60,3,1552,91822,139.833,35.6817,139.835,35.6902,30000,32383,-54.1107,1232.5
89,3,1552,91822,139.833,35.6817,139.835,35.6902,30000,32383,-54.5402,1232.5
51,3,1552,65345,139.833,35.6817,139.835,35.6907,30000,32391,-52.3685,1242.74
23,3,1552,132545,139.833,35.6817,139.835,35.6928,30000,32401,-75.8495,1493.21
97,0,1552,148941,139.833,35.6817,139.873,35.7178,30000,32401,-200.902,6874.28
94,3,1552,136248,139.833,35.6817,139.839,35.6919,30000,32413,-71.2923,1634.8
122,3,1552,91844,139.833,35.6817,139.835,35.6929,30000,32418,-78.3611,1507.66
