Time,SimulationTime,AgentID,Mode,Lon,Lat,Velocity(km/h),Acceleration(m/s),LinkID,LaneID,X,InNodeLane,CarFollowing,SignalStop,Transportation
1602165672000,50472,1,3,132.78292582,33.85275520,0.84454903,0.46919391,94362,-2,5.52134436,0,0,0,0
1602165673000,50473,1,3,132.78293109,33.85275505,2.66681222,0.54317456,94362,-2,6.00903109,0,0,0,0
1602165674000,50474,1,3,132.78294087,33.85275477,3.85430526,0.82325699,94362,-2,6.91473624,0,0,0,0
1602165675000,50475,1,3,132.78295243,33.85275443,3.85430546,0.65180118,94362,-2,7.98536666,0,0,0,0
1602165676000,50476,1,3,132.78296399,33.85275407,3.85430569,0.65180100,94362,-2,9.05599161,0,0,0,0
1602165677000,50477,1,3,132.78297555,33.85275371,3.85430592,0.65180079,94362,-2,10.12661122,0,0,0,0
1602165678000,50478,1,3,132.78298712,33.85275334,3.85430615,0.65180064,94362,-2,11.19722714,0,0,0,0
1602165679000,50479,1,3,132.78299868,33.85275297,3.85430638,0.65180053,94362,-2,12.26784068,0,0,0,0
1602165680000,50480,1,3,132.78301024,33.85275260,3.85430660,0.65180043,94362,-2,13.33845273,0,0,0,0
1602165681000,50481,1,3,132.78302180,33.85275222,3.85430683,0.65180034,94362,-2,14.40906388,0,0,0,0
1602165681000,50481,2,0,132.78293284,33.85279562,4.50917267,2.50509593,94362,1,6.03032037,0,0,0,0
1602165682000,50482,1,3,132.78303336,33.85275185,3.85430706,0.65180026,94362,-2,15.47967450,0,0,0,0
1602165682000,50482,2,0,132.78295685,33.85279499,11.49839031,1.37780276,94362,1,8.25359301,0,0,0,0
1602165683000,50483,1,3,132.78304492,33.85275147,3.85430729,0.65180019,94362,-2,16.55028483,0,0,0,0
1602165683000,50483,2,0,132.78299813,33.85279391,16.01883591,1.13355591,94362,1,12.07542998,0,0,0,0
1602165684000,50484,1,3,132.78305648,33.85275110,3.85430752,0.65180012,94362,-2,17.62089500,0,0,0,0
1602165684000,50484,2,0,132.78305150,33.85279251,19.55346364,0.83012616,94362,1,17.01602714,0,0,0,0
1602165685000,50485,1,3,132.78306804,33.85275072,3.85430775,0.65180005,94362,-2,18.69150510,0,0,0,0
1602165685000,50485,2,0,132.78311409,33.85279088,22.17557573,0.62660278,94362,1,22.81172706,0,0,0,0
1602165686000,50486,1,3,132.78307960,33.85275035,3.85430798,0.65179998,94362,-2,19.76211518,0,0,0,0
1602165686000,50486,2,0,132.78318359,33.85278906,24.14793154,0.46915045,94362,1,29.24554751,0,0,0,0
1602165687000,50487,1,3,132.78309116,33.85274997,3.85430821,0.65179991,94362,-2,20.83272529,0,0,0,0
1602165687000,50487,2,0,132.78325825,33.85278711,25.62604404,0.35202316,94362,1,36.15859967,0,0,0,0
1602165688000,50488,1,3,132.78310272,33.85274960,3.85430844,0.65179984,94362,-2,21.90333543,0,0,0,0
1602165688000,50488,2,0,132.78333680,33.85278506,26.73485929,0.26398531,94362,1,43.43094736,0,0,0,0
1602165689000,50489,1,3,132.78311428,33.85274922,3.85430866,0.65179977,94362,-2,22.97394563,0,0,0,0
1602165689000,50489,2,0,132.78341826,33.85278293,27.56642456,0.19799539,94362,1,50.97279234,0,0,0,0
1602165690000,50490,1,3,132.78312585,33.85274884,3.85430889,0.65179970,94362,-2,24.04455588,0,0,0,0
1602165690000,50490,2,0,132.78350227,33.85277948,28.19010774,0.14849526,1000011,-1,4.73015172,1,0,0,0
1602165691000,50491,1,3,132.78313741,33.85274847,3.85430912,0.65179964,94362,-2,25.11516620,0,0,0,0
1602165691000,50491,2,0,132.78358744,33.85277518,28.65786828,0.11137170,1000011,-1,12.62570395,1,0,0,0
1602165692000,50492,1,3,132.78314897,33.85274809,3.85430935,0.65179957,94362,-2,26.18577659,0,0,0,0
1602165692000,50492,2,0,132.78367399,33.85276965,29.00868906,0.08352873,1000011,-1,42.63095247,0,0,0,0
1602165693000,50493,1,3,132.78316053,33.85274772,3.85430958,0.65179950,94362,-2,27.25638704,0,0,0,0
1602165693000,50493,2,0,132.78376117,33.85276396,29.25345922,0.05245470,1000011,-1,34.53898744,0,0,0,0
1602165694000,50494,1,3,132.78317209,33.85274734,3.85430981,0.65179943,94362,-2,28.32699756,0,0,0,0
1602165694000,50494,2,0,132.78384896,33.85275823,29.42236059,0.04137939,1000011,-1,26.38956802,0,0,0,0
1602165695000,50495,1,3,132.78318365,33.85274697,3.85431004,0.65179936,94362,-2,29.39760815,0,0,0,0
1602165695000,50495,2,0,132.78393721,33.85275246,29.55197187,0.03062687,1000011,-1,18.19868851,0,0,0,0
1602165696000,50496,1,3,132.78319521,33.85274659,3.85431027,0.65179930,94362,-2,30.46821881,0,0,0,0
1602165696000,50496,2,0,132.78402579,33.85274668,29.64859328,0.02305169,1000011,-1,9.97638779,0,0,0,0
1602165697000,50497,1,3,132.78320677,33.85274622,3.85431050,0.65179923,94362,-2,31.53882954,0,0,0,0
1602165697000,50497,2,0,132.78411491,33.85271461,29.72117674,0.01727246,1000010,-1,0.86535795,1,0,0,0
1602165698000,50498,1,3,132.78321833,33.85274584,3.85431073,0.65179916,94362,-2,32.60944034,0,0,0,0
1602165698000,50498,2,0,132.78414424,33.85275974,5.69209979,1.99214541,1000010,-1,25.09769054,0,0,0,0
1602165699000,50499,1,3,132.78322989,33.85274546,3.85431095,0.65179909,94362,-2,33.68005121,0,0,0,0
1602165699000,50499,2,0,132.78416101,33.85277665,11.83921537,1.42291880,1000010,-1,22.66278566,0,0,0,0
1602165700000,50500,1,3,132.78324145,33.85274509,3.85431118,0.65179902,94362,-2,34.75066216,0,0,0,0
1602165700000,50500,2,0,132.78418797,33.85280385,16.34703808,1.08142715,1000010,-1,18.74802824,0,0,0,0
1602165701000,50501,1,3,132.78325301,33.85274471,3.85431141,0.65179896,94362,-2,35.82127317,0,0,0,0
