Time,SimulationTime,AgentID,Mode,StayTime(min),DUtility,ONodeID,DNodeID,O_Lon,O_Lat,D_Lon,D_Lat,Purpose,LastTrip
1602131401000,16201,30,3,0,0,112305,65172,139.83556440,35.69071200,139.83110400,35.68579420,0,1
1602131401000,16201,93,3,0,0,112300,78254,139.83870770,35.69265910,139.82331930,35.70026840,0,1
1602132601000,17401,64,0,0,0,12615,131841,139.84269750,35.69383110,139.82561110,35.71831660,0,1
1602135061000,19861,50,3,0,0,35996,57823,139.84636070,35.69068090,139.84165660,35.69987340,0,1
1602136801000,21601,97,0,0,0,65367,148941,139.84034570,35.68765850,139.87340840,35.71776090,0,1
1602136801000,21601,101,3,0,0,112302,112311,139.84215480,35.69049230,139.83849150,35.69398510,0,1
1602139201000,24001,63,3,0,0,136249,18491,139.84351430,35.69363280,139.83675680,35.67590540,0,1
1602141301000,26101,100,3,0,0,112340,133242,139.84374220,35.68776120,139.81709280,35.67208490,0,1
1602141301000,26101,113,3,0,0,91839,11458,139.83498290,35.69320390,139.81533850,35.69342880,0,1
1602142201000,27001,22,3,0,0,91809,68949,139.83030640,35.69275240,139.83064810,35.68396660,0,1
1602142201000,27001,114,3,0,0,91802,91843,139.83614770,35.69103710,139.83666070,35.69333940,0,1
1602142201000,27001,156,0,0,0,65178,50079,139.83379980,35.68594650,139.87398120,35.70971180,0,1
1602142501000,27301,152,3,0,0,132895,166819,139.82629830,35.69032920,139.81333850,35.66876970,0,1
1602142801000,27601,12,0,0,0,65349,91822,139.84257000,35.68702360,139.83508600,35.69015470,0,1
1602142801000,27601,115,3,0,0,91820,91803,139.83359970,35.69315550,139.83548690,35.69093100,0,1
1602143101000,27901,90,3,0,0,91802,112299,139.83614770,35.69103710,139.83665820,35.69388280,0,1
1602143101000,27901,153,3,0,0,65124,132458,139.82597330,35.69329000,139.82705340,35.69935460,0,1
1602143401000,28201,92,3,0,0,65327,91801,139.83775020,35.69067680,139.83601450,35.69112350,0,1
1602143401000,28201,145,3,0,0,90679,35982,139.84270980,35.68961740,139.84521320,35.68757810,0,1
1602143401000,28201,147,3,0,0,112307,90670,139.84395090,35.68860920,139.84076120,35.68999410,0,1
1602143701000,28501,85,3,0,0,132807,91808,139.83739320,35.68743690,139.83064860,35.69302720,0,1
1602143701000,28501,126,3,0,0,167665,7970,139.83884200,35.69185090,139.84307780,35.69740660,0,1
1602144001000,28801,61,3,0,0,132895,1915,139.82629830,35.69032920,139.82362320,35.67945350,0,1
1602144001000,28801,95,3,0,0,112330,35997,139.84153990,35.69059480,139.84632100,35.69088360,0,1
1602144001000,28801,98,3,0,0,112317,65323,139.84336960,35.68841540,139.83939390,35.68943000,0,1
1602144001000,28801,119,3,0,0,91839,91820,139.83498290,35.69320390,139.83359970,35.69315550,0,1
1602144001000,28801,121,3,0,0,91819,91803,139.83357050,35.69375440,139.83548690,35.69093100,0,1
1602144001000,28801,125,3,0,0,90677,91812,139.84254650,35.69294870,139.83316010,35.68883270,0,1
1602144601000,29401,154,3,0,0,132899,134502,139.82604730,35.69330040,139.82866890,35.69007200,0,1
1602145201000,30001,45,3,0,0,65345,91839,139.83544080,35.69071200,139.83498290,35.69320390,0,1
1602145501000,30301,19,3,0,0,65352,37482,139.83087790,35.68798950,139.82799200,35.68931700,0,1
1602145801000,30601,82,3,0,0,91805,132801,139.83225690,35.68950850,139.82551230,35.68742500,0,1
1602146401000,31201,38,3,0,0,132797,125204,139.82391500,35.68728570,139.81556550,35.70218730,0,1
1602146401000,31201,72,3,0,0,65109,134499,139.82019880,35.69185610,139.82882600,35.68936580,0,1
1602146701000,31501,135,3,0,0,132816,132793,139.83476440,35.68830030,139.83457680,35.68744420,0,1
1602147001000,31801,56,3,0,0,132802,1953,139.82537610,35.68896980,139.82639960,35.68827930,0,1
1602147301000,32101,109,0,0,0,91823,118849,139.83031500,35.69259850,139.83358610,35.67665500,0,1
1602147601000,32401,150,3,0,0,65241,1949,139.82307950,35.68922140,139.82311950,35.68628680,0,1
1602148501000,33301,6,3,0,0,65124,65116,139.82597330,35.69329000,139.82148750,35.69372980,0,1
1602149401000,34201,0,3,0,0,90685,90679,139.84196290,35.69040370,139.84270980,35.68961740,0,1
1602149401000,34201,15,3,0,0,35997,36003,139.84632100,35.69088360,139.84412350,35.69188340,0,1
1602149401000,34201,131,0,0,0,172492,115914,139.84561750,35.68664420,139.80468400,35.77689180,0,1
1602153001000,37801,16,3,0,0,65659,35995,139.84616870,35.69104860,139.84656290,35.68718290,0,1
1602153001000,37801,23,3,0,0,132543,132545,139.83694870,35.68926860,139.83485530,35.69284340,0,1
1602153901000,38701,68,3,0,0,37486,37484,139.82642720,35.68882580,139.82802580,35.68891000,0,1
1602153901000,38701,83,3,0,0,132813,91819,139.83472300,35.68829680,139.83357050,35.69375440,0,1
1602153901000,38701,169,3,0,0,35995,53449,139.84656290,35.68718290,139.82877970,35.69956980,0,1
1602154801000,39601,55,3,0,0,112320,81169,139.84522010,35.68820210,139.84120770,35.69899220,0,1
1602155401000,40201,24,3,0,0,91802,91801,139.83614770,35.69103710,139.83601450,35.69112350,0,1
1602155401000,40201,31,3,0,0,161135,112304,139.82871500,35.68930100,139.83689990,35.69069370,0,1
1602156001000,40801,59,3,0,0,91843,91839,139.83666070,35.69333940,139.83498290,35.69320390,0,1
1602156001000,40801,70,3,0,0,132775,134500,139.82313060,35.68536530,139.82973920,35.68934110,0,1
1602156601000,41401,17,3,0,0,36014,91839,139.84529680,35.68974110,139.83498290,35.69320390,0,1
1602156601000,41401,51,3,0,0,37486,65345,139.82642720,35.68882580,139.83544080,35.69071200,0,1
1602157201000,42001,110,3,0,0,65351,134501,139.83059820,35.68935440,139.82871470,35.68936780,0,1
1602157801000,42601,25,3,0,0,91822,132807,139.83508600,35.69015470,139.83739320,35.68743690,0,1
1602158401000,43201,1,3,0,0,65348,170166,139.84310530,35.68649460,139.84349660,35.68681850,0,1
1602158401000,43201,52,3,0,0,65345,1552,139.83544080,35.69071200,139.83293830,35.68169460,0,1
1602158701000,43501,60,3,0,0,91821,91822,139.83485850,35.69012960,139.83508600,35.69015470,0,1
1602159001000,43801,2,3,0,0,37480,81198,139.82882710,35.68930010,139.83160670,35.69365750,0,1
1602159301000,44101,46,3,0,0,91833,65327,139.83498680,35.69069070,139.83775020,35.69067680,0,1
1602160201000,45001,69,3,0,0,37481,65426,139.82991970,35.68849260,139.81502250,35.69766570,0,1
1602160201000,45001,104,3,0,0,90665,112325,139.84021510,35.68873590,139.84045700,35.69406570,0,1
1602160201000,45001,123,3,0,0,57766,57776,139.84220580,35.69415920,139.83739530,35.69392280,0,1
1602160501000,45301,18,3,0,0,112299,172491,139.83665820,35.69388280,139.84642010,35.68671270,0,1
1602161101000,45901,76,3,0,0,132784,65172,139.83271250,35.68672170,139.83110400,35.68579420,0,1
1602161461000,46261,124,3,0,0,112324,112330,139.84063360,35.69349560,139.84153990,35.69059480,0,1
1602162001000,46801,10,3,0,0,90667,65359,139.84247060,35.68890120,139.83941030,35.68943030,0,1
1602162001000,46801,71,3,0,0,37480,37487,139.82882710,35.68930010,139.82413030,35.68925160,0,1
1602162001000,46801,142,3,0,0,112311,57770,139.83849150,35.69398510,139.83416780,35.69485290,0,1
1602162301000,47101,43,0,0,0,91830,124530,139.82908680,35.69060710,139.81133160,35.68871810,0,1
1602162301000,47101,44,0,0,0,91816,1939,139.83102370,35.69332190,139.81067080,35.68952730,0,1
1602162301000,47101,94,3,0,0,112333,136248,139.83915200,35.69064590,139.83888340,35.69185910,0,1
1602163801000,48601,34,3,0,0,132545,1913,139.83485530,35.69284340,139.82552480,35.67773240,0,1
1602163801000,48601,53,3,0,0,66084,90677,139.84617450,35.69242700,139.84254650,35.69294870,0,1
1602163801000,48601,73,3,0,0,65174,132895,139.82851320,35.68716420,139.82629830,35.69032920,0,1
1602163801000,48601,105,3,0,0,112311,161129,139.83849150,35.69398510,139.84310160,35.68773950,0,1
1602163801000,48601,134,3,0,0,91811,65324,139.83299110,35.68957470,139.83708290,35.68928050,0,1
1602163801000,48601,160,3,0,0,112330,35974,139.84153990,35.69059480,139.84932070,35.68888010,0,1
1602164101000,48901,13,0,0,0,112290,112340,139.83744310,35.69337360,139.84374220,35.68776120,0,1
1602164101000,48901,158,0,0,0,112303,36232,139.84214160,35.69056470,139.85116410,35.69657190,0,1
1602164401000,49201,77,3,0,0,65173,65351,139.82699970,35.68558210,139.83059820,35.68935440,0,1
1602164401000,49201,99,3,0,0,161128,90675,139.84333940,35.68699550,139.84207380,35.69011130,0,1
1602165001000,49801,62,3,0,0,65108,158771,139.82005890,35.69300750,139.82465600,35.67819670,0,1
1602165601000,50401,47,3,0,0,112310,37479,139.83756880,35.69178830,139.82975850,35.68927350,0,1
1602165601000,50401,54,3,0,0,112338,36018,139.84271310,35.69358630,139.84551650,35.68976790,0,1
1602166201000,51001,157,0,0,0,91827,81182,139.83381200,35.69064680,139.82579000,35.69545970,0,1
1602167401000,52201,4,3,0,0,161135,132898,139.82871500,35.68930100,139.82788610,35.69035470,0,1
1602167401000,52201,36,3,0,0,91819,112338,139.83357050,35.69375440,139.84271310,35.69358630,0,1
1602167401000,52201,48,3,0,0,65173,132778,139.82699970,35.68558210,139.83051790,35.68809600,0,1
1602167401000,52201,138,3,0,0,65333,132788,139.83652390,35.68610530,139.83338440,35.68679240,0,1
1602167401000,52201,164,3,0,0,1951,132781,139.82306530,35.68616870,139.83226790,35.68620730,0,1
1602167701000,52501,136,3,0,0,91802,81008,139.83614770,35.69103710,139.82794530,35.69509370,0,1
1602168301000,53101,5,3,0,0,91808,132783,139.83064860,35.69302720,139.83221190,35.68665460,0,1
1602169201000,54001,78,3,0,0,65352,127872,139.83087790,35.68798950,139.85138440,35.69085150,0,1
1602169201000,54001,96,3,0,0,65659,112291,139.84616870,35.69104860,139.83855080,35.69341830,0,1
1602169201000,54001,132,3,0,0,65659,36010,139.84616870,35.69104860,139.84448040,35.69071390,0,1
1602169201000,54001,139,3,0,0,12619,65371,139.83617130,35.68843170,139.83627700,35.68751850,0,1
1602169801000,54601,49,3,0,0,134500,112332,139.82973920,35.68934110,139.83765560,35.69081780,0,1
1602170401000,55201,140,3,0,0,132787,90669,139.83262170,35.68762460,139.84340390,35.69023490,0,1
1602170401000,55201,146,3,0,0,90679,65576,139.84270980,35.68961740,139.84331200,35.69052680,0,1
1602170701000,55501,148,3,0,0,161134,112329,139.84350210,35.68651860,139.84157940,35.69043780,0,1
1602171001000,55801,3,0,0,0,81198,136239,139.83160670,35.69365750,139.84463030,35.68246550,0,1
1602171061000,55861,173,0,0,0,91801,82473,139.83601450,35.69112350,139.74740090,35.79749970,0,1
1602171601000,56401,7,3,0,0,57776,90691,139.83739530,35.69392280,139.84484440,35.68907490,0,1
1602171901000,56701,74,3,0,0,169738,65350,139.82164470,35.69021680,139.83075340,35.68854670,0,1
1602172201000,57001,39,0,0,0,167665,112314,139.83884200,35.69185090,139.84236760,35.69357070,0,1
1602172201000,57001,41,0,0,0,112296,112300,139.83943550,35.69402340,139.83870770,35.69265910,0,1
1602172201000,57001,86,3,0,0,91824,132789,139.83027450,35.69301170,139.83373220,35.68680640,0,1
1602172621000,57421,8,3,0,0,65589,57801,139.84477150,35.69073810,139.84151920,35.70015200,0,1
1602172741000,57541,37,3,0,0,112295,112292,139.83977660,35.69282360,139.83670370,35.69334160,0,1
