AgentID,Mode,ONodeID,DNodeID,O_Lon,O_Lat,D_Lon,D_Lat,StartTime,EndTime,TotalUtility,TotalDistance(m)
30,3,112305,65172,139.836,35.6907,139.831,35.6858,16200,17093,-34.5241,979.032
64,0,12615,131841,139.843,35.6938,139.826,35.7183,17400,18231,-98.9104,3621.58
93,3,112300,78254,139.839,35.6927,139.823,35.7003,16200,19044,-80.2802,2088.93
50,3,35996,57823,139.846,35.6907,139.842,35.6999,19860,21692,-62.3878,1293.18
101,3,112302,112311,139.842,35.6905,139.838,35.694,21600,22153,-19.7088,630.276
97,0,65367,148941,139.84,35.6877,139.873,35.7178,21600,23561,-162.468,5670.69
63,3,136249,18491,139.844,35.6936,139.837,35.6759,24000,27120,-95.8226,2496.59
114,3,91802,91843,139.836,35.691,139.837,35.6933,27000,27441,-14.0916,484.886
12,0,65349,91822,139.843,35.687,139.835,35.6902,27600,28039,-45.4049,1125.17
115,3,91820,91803,139.834,35.6932,139.835,35.6909,27600,28165,-16.6266,416.559
113,3,91839,11458,139.835,35.6932,139.815,35.6934,26100,28367,-77.6729,2000.77
90,3,91802,112299,139.836,35.691,139.837,35.6939,27900,28399,-17.006,548.974
147,3,112307,90670,139.844,35.6886,139.841,35.69,28200,28586,-15.4604,431.538
145,3,90679,35982,139.843,35.6896,139.845,35.6876,28200,28588,-19.8409,424.424
92,3,65327,91801,139.838,35.6907,139.836,35.6911,28200,28591,-11.3428,275.491
119,3,91839,91820,139.835,35.6932,139.834,35.6932,28800,29017,-6.98887,262.966
22,3,91809,68949,139.83,35.6928,139.831,35.684,27000,29104,-64.6995,1707.52
156,0,65178,50079,139.834,35.6859,139.874,35.7097,27000,29175,-175.344,5837.84
121,3,91819,91803,139.834,35.6938,139.835,35.6909,28800,29211,-11.646,461.03
98,3,112317,65323,139.843,35.6884,139.839,35.6894,28800,29232,-12.4905,471.576
153,3,65124,132458,139.826,35.6933,139.827,35.6994,27900,29371,-51.7877,844.385
95,3,112330,35997,139.842,35.6906,139.846,35.6909,28800,29437,-20.8631,458.618
154,3,132899,134502,139.826,35.6933,139.829,35.6901,29400,29907,-17.3117,579.13
126,3,167665,7970,139.839,35.6919,139.843,35.6974,28500,29931,-41.1833,1210.41
85,3,132807,91808,139.837,35.6874,139.831,35.693,28500,30103,-57.3213,1183.82
45,3,65345,91839,139.835,35.6907,139.835,35.6932,30000,30256,-9.64014,301.045
100,3,112340,133242,139.844,35.6878,139.817,35.6721,26100,30375,-132.34,3880.47
125,3,90677,91812,139.843,35.6929,139.833,35.6888,28800,30718,-54.7938,1283.97
19,3,65352,37482,139.831,35.688,139.828,35.6893,30300,30750,-16.7841,386.38
61,3,132895,1915,139.826,35.6903,139.824,35.6795,28800,30893,-67.0714,1582.25
82,3,91805,132801,139.832,35.6895,139.826,35.6874,30600,31445,-23.3814,806.527
135,3,132816,132793,139.835,35.6883,139.835,35.6874,31500,31603,-3.1996,117.013
56,3,132802,1953,139.825,35.689,139.826,35.6883,31800,31944,-4.27608,170.629
152,3,132895,166819,139.826,35.6903,139.813,35.6688,27300,32373,-161.239,4105.71
72,3,65109,134499,139.82,35.6919,139.829,35.6894,31200,32514,-39.481,1046.32
150,3,65241,1949,139.823,35.6892,139.823,35.6863,32400,32685,-9.83562,325.94
109,0,91823,118849,139.83,35.6926,139.834,35.6767,32100,33061,-64.1199,2356.93
38,3,132797,125204,139.824,35.6873,139.816,35.7022,31200,33901,-79.3526,2333.71
6,3,65124,65116,139.826,35.6933,139.821,35.6937,33300,33903,-20.9761,475.065
15,3,35997,36003,139.846,35.6909,139.844,35.6919,34200,34449,-8.41803,291.04
0,3,90685,90679,139.842,35.6904,139.843,35.6896,34200,34605,-12.1137,284.402
131,0,172492,115914,139.846,35.6866,139.805,35.7769,34200,36763,-236.766,12749.6
16,3,65659,35995,139.846,35.691,139.847,35.6872,37800,38226,-14.6801,434.547
23,3,132543,132545,139.837,35.6893,139.835,35.6928,37800,38641,-29.0995,503.08
68,3,37486,37484,139.826,35.6888,139.828,35.6889,38700,38822,-2.95692,145.001
83,3,132813,91819,139.835,35.6883,139.834,35.6938,38700,39470,-19.3087,644.064
24,3,91802,91801,139.836,35.691,139.836,35.6911,40200,40212,-0.355073,15.4031
59,3,91843,91839,139.837,35.6933,139.835,35.6932,40800,40929,-3.1266,152.603
55,3,112320,81169,139.845,35.6882,139.841,35.699,39600,41063,-48.016,1367.88
31,3,161135,112304,139.829,35.6893,139.837,35.6907,40200,41529,-37.7118,863.881
169,3,35995,53449,139.847,35.6872,139.829,35.6996,38700,42232,-114.265,2617.66
110,3,65351,134501,139.831,35.6894,139.829,35.6894,42000,42523,-13.2713,177.04
70,3,132775,134500,139.823,35.6854,139.83,35.6893,40800,42661,-45.2977,1011.32
51,3,37486,65345,139.826,35.6888,139.835,35.6907,41400,42930,-37.4369,987.524
1,3,65348,170166,139.843,35.6865,139.843,35.6868,43200,43254,-2.21303,69.2952
60,3,91821,91822,139.835,35.6901,139.835,35.6902,43500,43515,-0.447862,20.7796
25,3,91822,132807,139.835,35.6902,139.837,35.6874,42600,43594,-30.8944,467.64
17,3,36014,91839,139.845,35.6897,139.835,35.6932,41400,43597,-63.3332,1264.81
46,3,91833,65327,139.835,35.6907,139.838,35.6907,44100,44456,-14.9275,250.235
2,3,37480,81198,139.829,35.6893,139.832,35.6937,43800,44463,-18.871,743.714
123,3,57766,57776,139.842,35.6942,139.837,35.6939,45000,45385,-13.6078,436.206
