Time,SimulationTime,LinkID,CarTrafficVolume(OD),CarTrafficVolume(DO),CarVelocity(km/h)(OD),CarVelocity(km/h)(DO),CarVelocity(km/h),TrafficVolume,Velocity(km/h),ONodeID,DNodeID,O_Lon,O_Lat,D_Lon,D_Lat
1602132001000,16801,189906,0,0,0,0,30,1,3.9361,112291,112300,139.83856113,35.69336831,139.83869769,35.69270755
1602132001000,16801,189901,0,0,0.00000000,0.00000000,30.00000000,1,4.00611653,112290,112291,139.83749896,35.69337585,139.83849362,35.69341599
1602132001000,16801,106334,0,0,0.00000000,0.00000000,40.00000000,1,2.93644642,57769,57776,139.83734906,35.69436410,139.83739051,35.69396855
1602132001000,16801,106335,0,0,0.00000000,0.00000000,30.00000000,1,4.01491642,57769,57777,139.83729066,35.69440808,139.83635564,35.69436574
1602132001000,16801,106349,0,0,0.00000000,0.00000000,40.00000000,1,2.35348369,57776,112290,139.83739922,35.69387779,139.83743912,35.69341936
1602132001000,16801,106352,0,0,0.00000000,0.00000000,30.00000000,1,2.09072409,57777,57790,139.83629720,35.69441046,139.83624787,35.69492709
1602132001000,16801,106378,0,0,0.00000000,0.00000000,30.00000000,1,4.01722193,57787,57790,139.83620611,35.69531914,139.83623856,35.69501859
1602132001000,16801,118632,0,0,0.00000000,0.00000000,30.00000000,1,3.93633426,65345,91833,139.83537292,35.69070882,139.83504730,35.69069354
1602132001000,16801,118645,0,0,0.00000000,0.00000000,40.00000000,1,3.97952154,65350,65353,139.83081013,35.68855338,139.83234520,35.68873411
1602132001000,16801,118650,0,0,0.00000000,0.00000000,40.00000000,1,4.02363678,65353,91812,139.83245612,35.68874737,139.83310345,35.68882583
1602132001000,16801,118681,0,0,0.00000000,0.00000000,30.00000000,1,3.96972318,65368,65369,139.83395353,35.68897254,139.83385174,35.68960316
1602132001000,16801,118683,0,0,0.00000000,0.00000000,40.00000000,1,4.01023926,65368,91812,139.83390685,35.68892111,139.83321264,35.68883892
1602132001000,16801,118685,0,0,0.00000000,0.00000000,50.00000000,1,0.00000000,65369,91834,139.83390022,35.68965381,139.83389933,35.68965373
1602132001000,16801,159832,0,0,0.00000000,0.00000000,30.00000000,1,4.08249195,91822,91835,139.83509746,35.69011485,139.83516040,35.68989593
1602132001000,16801,159833,0,0,0.00000000,0.00000000,30.00000000,1,4.05675004,91822,91833,139.83507763,35.69019995,139.83499585,35.69064182
1602132001000,16801,159840,0,0,0.00000000,0.00000000,30.00000000,1,0.00000000,91828,91834,139.83394974,35.68969351,139.83394773,35.68970490
1602132001000,16801,159841,0,0,0.00000000,0.00000000,50.00000000,1,3.96707907,91828,91835,139.83399860,35.68974472,139.83511243,35.68984083
1602132601000,17401,106377,0,0,0.00000000,0.00000000,30.00000000,1,3.95676639,57787,57789,139.83619694,35.69540957,139.83614383,35.69597254
1602132601000,17401,106380,0,0,0.00000000,0.00000000,30.00000000,1,0.00000000,57789,57791,139.83613540,35.69606247,139.83614161,35.69599571
1602132601000,17401,106383,0,0,0.00000000,0.00000000,30.00000000,1,4.00797707,57791,57792,139.83613120,35.69608709,139.83607402,35.69650593
1602132601000,17401,106386,0,0,0.00000000,0.00000000,30.00000000,1,4.00706251,57792,57815,139.83606092,35.69660035,139.83599902,35.69703886
1602132601000,17401,106427,0,0,0.00000000,0.00000000,50.00000000,1,4.02279786,57815,65140,139.83594027,35.69708411,139.83500343,35.69704107
1602132601000,17401,118264,0,0,0.00000000,0.00000000,50.00000000,1,4.00137652,65140,81195,139.83489319,35.69703609,139.83413292,35.69700229
1602132601000,17401,118328,0,0,0.00000000,0.00000000,40.00000000,1,3.93583358,65172,132777,139.83115152,35.68579639,139.83123593,35.68580029
1602132601000,17401,118644,0,0,0.00000000,0.00000000,30.00000000,1,3.97515166,65350,65352,139.83076368,35.68850070,139.83086868,35.68803074
1602132601000,17401,118648,0,0,0.00000000,0.00000000,30.00000000,1,4.00563440,65352,132777,139.83088684,35.68794284,139.83128738,35.68585224
1602133201000,18001,216641,1,0,47.48851633,0.00000000,47.48851633,0,50.00000000,132561,132571,139.83051161,35.70947815,139.83028290,35.70978215
1602133201000,18001,216634,1,0,46.36867053,0.00000000,46.36867053,0,50.00000000,132557,132561,139.83116661,35.70860673,139.83064594,35.70929954
